instance_key,uid,name,path,level,parent_uid
EMIS,ftq8bJq7cj0,"Aakum Parish",/KJPN4PduBWe/rn2uTdRyUbh/cSrCFjPKqcG/i11SZTLQap4/hVZeyZ0q28u/ftq8bJq7cj0,6,hVZeyZ0q28u
EMIS,z3nGsD2oPvw,"Aarapoo Parish",/KJPN4PduBWe/rn2uTdRyUbh/zJfpujxC1kD/KNPVL257sX3/nffZS6pdMhZ/z3nGsD2oPvw,6,nffZS6pdMhZ
EMIS,Osy6bw8b3Ra,"Abaji Parish",/KJPN4PduBWe/ToANlYyRiKb/A4aGXEfdb8P/x6VPaGLg6q1/mfBJZtzMb9k/Osy6bw8b3Ra,6,mfBJZtzMb9k
EMIS,TyVEgF5FlTL,"Abakadyak Parish",/KJPN4PduBWe/yXncUmqtQYF/xy0M4HhjXtD/StQcQsGYdz1/bM9rKCuKbpb/TyVEgF5FlTL,6,bM9rKCuKbpb
EMIS,p5LFbBGgNW0,"Abala Parish",/KJPN4PduBWe/n90wmiOocDw/Lj8t70RYnEt/Z6jOVYoS7Le/K48w2kQQvUA/p5LFbBGgNW0,6,K48w2kQQvUA
EMIS,jqRbqIYGvNj,"Abalang(Alwa Subcounty) Parish",/KJPN4PduBWe/rn2uTdRyUbh/QoRZB7xc3j9/PUyNDCs6OkV/jXXa0PTeTUQ/jqRbqIYGvNj,6,jXXa0PTeTUQ
EMIS,iCiVC1Xf6O3,"Abalang(Okwalongwen Subcounty) Parish",/KJPN4PduBWe/n90wmiOocDw/wMQ25dybdgH/JQS5nqalLHt/jkEv7p1AY7B/iCiVC1Xf6O3,6,jkEv7p1AY7B
EMIS,owJg22VYpkO,"Abaler Parish",/KJPN4PduBWe/n90wmiOocDw/ZuQHWOaFQVM/w2z5HQFFbPY/RRXG5pP25Tt/owJg22VYpkO,6,RRXG5pP25Tt
EMIS,J1T1xQDa8cU,"Abalodyang Parish",/KJPN4PduBWe/n90wmiOocDw/ZuQHWOaFQVM/w2z5HQFFbPY/tw65TiDdjdi/J1T1xQDa8cU,6,tw65TiDdjdi
EMIS,RkdwOz2GAeZ,"Abanga Parish",/KJPN4PduBWe/ToANlYyRiKb/A4aGXEfdb8P/x6VPaGLg6q1/X2vKJ3QpDNv/RkdwOz2GAeZ,6,X2vKJ3QpDNv
EMIS,fdmtsKhXp9l,"Abangaimany Parish",/KJPN4PduBWe/n90wmiOocDw/p7EEgDEX3jT/soxn2fd2is1/lireba0g3Da/fdmtsKhXp9l,6,lireba0g3Da
EMIS,EWdoUe22WKb,"Abany Parish",/KJPN4PduBWe/n90wmiOocDw/gCN6sU5BjlR/YQofQVGhwAl/H5aaabQNsOQ/EWdoUe22WKb,6,H5aaabQNsOQ
